,Unique_ID,C1,C2,C3,C4,C5,C6,C7,C8,N1,N8,N9,N24,N33,N34
0,Candidate_5926,1,0,11,31,0,0,0,1,23.75,0,0,1750.0,58.0,113.39
1,Candidate_48134,1,4,2,66,2,0,1,1,11.05,4,72,10833.33333,160.0,262.1
2,Candidate_51717,1,0,19,2,0,0,0,1,29.0,2,15,6250.0,24.0,50.29
3,Candidate_26401,1,1,16,47,1,0,4,1,17.99,5,190,2413.666667,70.0,126.52
4,Candidate_34872,1,1,13,1,1,1,6,1,27.5,10,1504,7666.666667,100.0,205.47
5,Candidate_29660,1,0,30,13,2,0,2,1,13.5,8,337,4250.0,150.0,254.51
6,Candidate_29517,1,0,41,0,2,1,2,1,8.5,10,443,4875.0,51.0,80.5
7,Candidate_34848,1,1,34,17,1,0,7,1,16.2,3,221,1960.0,53.0,93.43
8,Candidate_12081,1,0,35,31,0,0,0,1,11.75,3,65,3750.0,36.0,0.0
9,Candidate_34016,1,4,17,0,2,1,4,1,10.5,3,19,3000.0,20.0,32.5
10,Candidate_52651,2,1,2,1,1,0,4,1,28.27,13,802,3500.0,140.0,219.09
11,Candidate_8149,1,1,7,1,1,0,4,0,30.73,12,456,3889.583333,80.0,171.41
12,Candidate_22621,1,4,5,0,2,1,6,1,7.0,4,224,7916.666667,60.02,92.66
13,Candidate_36516,1,1,13,35,1,1,2,1,15.99,2,15,4583.333333,100.0,175.76
14,Candidate_20236,1,0,6,10,2,0,7,1,14.25,1,0,2080.0,30.0,51.45
15,Candidate_13802,1,0,1,11,0,0,0,1,11.95,8,141,4166.666667,80.0,132.76
16,Candidate_8636,1,0,0,1,2,0,4,1,22.5,4,919,3166.666667,115.0,221.09
17,Candidate_16860,1,0,5,31,0,1,0,1,21.45,3,90,2333.333333,160.0,303.25
18,Candidate_41063,1,6,15,12,2,0,4,1,24.24,3,94,2196.0,30.0,59.04
19,Candidate_19514,1,3,19,15,2,1,2,1,10.45,6,267,5416.666667,100.0,162.39
20,Candidate_43485,1,0,30,0,2,1,1,1,10.0,21,521,13858.0,400.0,636.81
21,Candidate_26371,1,9,3,1,5,1,7,1,14.69,6,270,1658.0,170.0,293.37
22,Candidate_25273,1,3,23,12,2,0,4,1,26.35,5,371,2333.333333,40.0,80.95
23,Candidate_33032,1,0,2,1,2,0,4,1,10.0,2,85,2916.666667,240.0,387.21
24,Candidate_20466,1,2,31,1,1,1,1,1,19.49,6,148,8775.0,90.0,166.07
25,Candidate_17510,1,7,29,50,2,0,4,1,29.63,4,46,3983.333333,45.0,95.06
26,Candidate_13946,1,7,28,11,1,0,4,1,31.77,7,136,3166.666667,80.0,173.71
27,Candidate_49325,1,7,16,4,1,1,2,1,23.0,3,158,5000.0,22.0,42.58
28,Candidate_23622,3,6,7,16,1,1,6,1,5.65,6,176,6666.666667,80.0,0.0
29,Candidate_5138,1,3,15,18,1,1,4,1,14.49,1,25,3537.916667,180.0,309.74
30,Candidate_26737,1,3,13,1,2,0,4,1,8.0,2,35,4000.0,100.0,156.68
31,Candidate_41754,1,0,26,0,2,0,4,1,21.5,3,84,3250.0,100.0,168.57
32,Candidate_10796,1,0,0,31,0,0,0,1,22.0,0,0,3333.333333,51.0,97.39
