,Unique_ID,Dependent_Variable
0,Candidate_5926,1
1,Candidate_48134,0
2,Candidate_51717,1
3,Candidate_26401,0
4,Candidate_34872,0
5,Candidate_29660,0
6,Candidate_29517,0
7,Candidate_34848,0
8,Candidate_12081,0
9,Candidate_34016,0
10,Candidate_52651,1
11,Candidate_8149,1
12,Candidate_22621,0
13,Candidate_36516,0
14,Candidate_20236,0
15,Candidate_13802,0
16,Candidate_8636,1
17,Candidate_16860,0
18,Candidate_41063,0
19,Candidate_19514,0
20,Candidate_43485,0
21,Candidate_26371,0
22,Candidate_25273,0
23,Candidate_33032,0
24,Candidate_20466,0
25,Candidate_17510,0
26,Candidate_13946,0
27,Candidate_49325,0
28,Candidate_23622,0
29,Candidate_5138,1
30,Candidate_26737,0
31,Candidate_41754,0
32,Candidate_10796,1
33,Candidate_53815,1
34,Candidate_50136,1
35,Candidate_17333,0
36,Candidate_9056,1
37,Candidate_24160,0
38,Candidate_44929,0
39,Candidate_51702,1
40,Candidate_29104,0
41,Candidate_23139,0
42,Candidate_34855,0
43,Candidate_53428,1
44,Candidate_29470,0
45,Candidate_7913,1
46,Candidate_15915,0
47,Candidate_39822,0
48,Candidate_32727,0
49,Candidate_13491,0
50,Candidate_31384,0
51,Candidate_32115,0
52,Candidate_14154,0
53,Candidate_648,1
54,Candidate_49039,0
55,Candidate_48742,0
56,Candidate_14950,0
57,Candidate_8619,1
58,Candidate_3560,1
59,Candidate_1537,1
60,Candidate_44634,0
61,Candidate_5714,1
62,Candidate_2895,1
63,Candidate_22498,0
64,Candidate_23206,0
65,Candidate_51221,1
66,Candidate_34012,0
67,Candidate_54771,1
68,Candidate_28293,0
69,Candidate_10908,1
70,Candidate_51402,1
71,Candidate_48445,0
72,Candidate_17703,0
73,Candidate_18809,0
74,Candidate_11981,1
75,Candidate_24478,0
76,Candidate_6108,1
77,Candidate_33373,0
78,Candidate_11677,1
79,Candidate_51939,1
80,Candidate_37564,0
81,Candidate_12164,0
82,Candidate_33418,0
83,Candidate_28284,0
84,Candidate_1966,1
85,Candidate_19333,0
86,Candidate_17941,0
87,Candidate_5517,1
88,Candidate_47092,0
89,Candidate_51489,1
90,Candidate_30815,0
91,Candidate_36060,0
92,Candidate_35755,0
93,Candidate_35924,0
94,Candidate_49048,0
95,Candidate_13910,0
96,Candidate_44355,0
97,Candidate_50754,1
98,Candidate_40734,0
99,Candidate_5696,1
100,Candidate_421,1
101,Candidate_27273,0
102,Candidate_27160,0
103,Candidate_21343,0
104,Candidate_48881,0
105,Candidate_34637,0
106,Candidate_1376,1
107,Candidate_46070,0
108,Candidate_4143,1
109,Candidate_6544,1
110,Candidate_41137,0
111,Candidate_26454,0
112,Candidate_48953,0
113,Candidate_24269,0
114,Candidate_5781,1
115,Candidate_30510,0
116,Candidate_38231,0
117,Candidate_12402,0
118,Candidate_18488,0
119,Candidate_28834,0
120,Candidate_721,1
121,Candidate_1166,1
122,Candidate_18970,0
123,Candidate_8878,1
124,Candidate_23685,0
125,Candidate_43272,0
126,Candidate_46189,0
127,Candidate_37633,0
128,Candidate_21899,0
129,Candidate_33814,0
130,Candidate_16789,0
131,Candidate_11373,1
132,Candidate_18246,0
133,Candidate_49978,0
134,Candidate_43891,0
135,Candidate_45009,0
136,Candidate_8265,1
137,Candidate_17039,0
138,Candidate_25928,0
139,Candidate_30559,0
140,Candidate_21846,0
141,Candidate_34106,0
142,Candidate_1062,1
143,Candidate_17359,0
144,Candidate_33883,0
145,Candidate_22205,0
146,Candidate_14956,0
147,Candidate_29124,0
148,Candidate_49373,0
149,Candidate_5392,1
150,Candidate_44886,0
151,Candidate_44615,0
152,Candidate_40185,0
153,Candidate_807,1
154,Candidate_11637,1
155,Candidate_16082,0
156,Candidate_49528,0
157,Candidate_30079,0
158,Candidate_47410,0
159,Candidate_18063,0
160,Candidate_5997,1
161,Candidate_31157,0
162,Candidate_25266,0
163,Candidate_49607,0
164,Candidate_25596,0
165,Candidate_37264,0
166,Candidate_9202,1
167,Candidate_37436,0
168,Candidate_2674,1
169,Candidate_23337,0
170,Candidate_13938,0
171,Candidate_48101,0
172,Candidate_38533,0
173,Candidate_47906,0
174,Candidate_38347,0
175,Candidate_35450,0
176,Candidate_31579,0
177,Candidate_6083,1
178,Candidate_10594,1
179,Candidate_50890,1
180,Candidate_25819,0
181,Candidate_30159,0
182,Candidate_38748,0
183,Candidate_4345,1
184,Candidate_36665,0
185,Candidate_12489,0
186,Candidate_31000,0
187,Candidate_53323,1
188,Candidate_10157,1
189,Candidate_18474,0
190,Candidate_26362,0
191,Candidate_20867,0
192,Candidate_32209,0
193,Candidate_7966,1
194,Candidate_34083,0
195,Candidate_12085,0
196,Candidate_25609,0
197,Candidate_30557,0
198,Candidate_28221,0
199,Candidate_10067,1
200,Candidate_23517,0
201,Candidate_27576,0
202,Candidate_11912,1
203,Candidate_28530,0
204,Candidate_23654,0
205,Candidate_2501,1
206,Candidate_41860,0
207,Candidate_14362,0
208,Candidate_15465,0
209,Candidate_40332,0
210,Candidate_54716,1
211,Candidate_8534,1
212,Candidate_15806,0
213,Candidate_8313,1
214,Candidate_26275,0
215,Candidate_19331,0
216,Candidate_21437,0
217,Candidate_18735,0
218,Candidate_35157,0
219,Candidate_7441,1
220,Candidate_41414,0
221,Candidate_47212,0
222,Candidate_14738,0
223,Candidate_30986,0
224,Candidate_50467,1
225,Candidate_16620,0
226,Candidate_31644,0
227,Candidate_39161,0
228,Candidate_23614,0
229,Candidate_13274,0
230,Candidate_7366,1
231,Candidate_32362,0
232,Candidate_27514,0
233,Candidate_51427,1
234,Candidate_33633,0
235,Candidate_54503,1
236,Candidate_16097,0
237,Candidate_16988,0
238,Candidate_49213,0
239,Candidate_48967,0
240,Candidate_50887,1
241,Candidate_30780,0
242,Candidate_25821,0
243,Candidate_16043,0
244,Candidate_44670,0
245,Candidate_30259,0
246,Candidate_37101,0
247,Candidate_920,1
248,Candidate_260,1
249,Candidate_40252,0
250,Candidate_4837,1
251,Candidate_7530,1
252,Candidate_48752,0
253,Candidate_2461,1
254,Candidate_53352,1
255,Candidate_38789,0
256,Candidate_35798,0
257,Candidate_11253,1
258,Candidate_11968,1
259,Candidate_6922,1
260,Candidate_10184,1
261,Candidate_35402,0
262,Candidate_10933,1
263,Candidate_16859,0
264,Candidate_23953,0
265,Candidate_54520,1
266,Candidate_49481,0
267,Candidate_8834,1
268,Candidate_25882,0
269,Candidate_6968,1
270,Candidate_20921,0
271,Candidate_11002,1
272,Candidate_10152,1
273,Candidate_14565,0
274,Candidate_53197,1
275,Candidate_38708,0
276,Candidate_52067,1
277,Candidate_41010,0
278,Candidate_50249,1
279,Candidate_44398,0
280,Candidate_7965,1
281,Candidate_50595,1
282,Candidate_43524,0
283,Candidate_31919,0
284,Candidate_1447,1
285,Candidate_31068,0
286,Candidate_27430,0
287,Candidate_46408,0
288,Candidate_31394,0
289,Candidate_53680,1
290,Candidate_7752,1
291,Candidate_10563,1
292,Candidate_34068,0
293,Candidate_54689,1
294,Candidate_30429,0
295,Candidate_11240,1
296,Candidate_35974,0
297,Candidate_22510,0
298,Candidate_34381,0
299,Candidate_20157,0
300,Candidate_24778,0
301,Candidate_7835,1
302,Candidate_1769,1
303,Candidate_9850,1
304,Candidate_20251,0
305,Candidate_22603,0
306,Candidate_40030,0
307,Candidate_38930,0
308,Candidate_47110,0
309,Candidate_35511,0
310,Candidate_15739,0
311,Candidate_16129,0
312,Candidate_38883,0
313,Candidate_50213,1
314,Candidate_24804,0
315,Candidate_30817,0
316,Candidate_6709,1
317,Candidate_1245,1
318,Candidate_11943,1
319,Candidate_37777,0
320,Candidate_27763,0
321,Candidate_15215,0
322,Candidate_33650,0
323,Candidate_23256,0
324,Candidate_37981,0
325,Candidate_48825,0
326,Candidate_25562,0
327,Candidate_46535,0
328,Candidate_39261,0
